Algoritmo,Tipo,Tamanho,Threads,Amostra,Tempo_ms
BubbleSort,random,1000,1,1,4,6351
BubbleSort,random,1000,1,2,0,8634
BubbleSort,random,1000,1,3,1,2656
BubbleSort,random,1000,1,4,1,7116
BubbleSort,random,1000,1,5,0,6236
QuickSort,random,1000,1,1,1,8006
QuickSort,random,1000,1,2,0,6388
QuickSort,random,1000,1,3,0,5050
QuickSort,random,1000,1,4,0,4958
QuickSort,random,1000,1,5,0,5568
MergeSort,random,1000,1,1,1,9838
MergeSort,random,1000,1,2,0,1764
MergeSort,random,1000,1,3,0,1141
MergeSort,random,1000,1,4,0,1231
MergeSort,random,1000,1,5,0,1074
SelectionSort,random,1000,1,1,2,8868
SelectionSort,random,1000,1,2,1,0584
SelectionSort,random,1000,1,3,1,0628
SelectionSort,random,1000,1,4,1,0588
SelectionSort,random,1000,1,5,1,0572
ParallelBubbleSort,random,1000,2,1,310,0161
ParallelBubbleSort,random,1000,2,2,257,0465
ParallelBubbleSort,random,1000,2,3,208,7896
ParallelBubbleSort,random,1000,2,4,196,8131
ParallelBubbleSort,random,1000,2,5,191,2526
ParallelQuickSort,random,1000,2,1,3,2247
ParallelQuickSort,random,1000,2,2,0,8215
ParallelQuickSort,random,1000,2,3,0,9911
ParallelQuickSort,random,1000,2,4,0,7950
ParallelQuickSort,random,1000,2,5,0,7664
ParallelMergeSort,random,1000,2,1,2,0778
ParallelMergeSort,random,1000,2,2,0,3682
ParallelMergeSort,random,1000,2,3,0,3393
ParallelMergeSort,random,1000,2,4,0,4054
ParallelMergeSort,random,1000,2,5,0,3680
ParallelSelectionSort,random,1000,2,1,18,4556
ParallelSelectionSort,random,1000,2,2,13,2027
ParallelSelectionSort,random,1000,2,3,12,5509
ParallelSelectionSort,random,1000,2,4,11,4014
ParallelSelectionSort,random,1000,2,5,11,0271
ParallelBubbleSort,random,1000,4,1,338,1995
ParallelBubbleSort,random,1000,4,2,325,8577
ParallelBubbleSort,random,1000,4,3,319,4411
ParallelBubbleSort,random,1000,4,4,323,6721
ParallelBubbleSort,random,1000,4,5,313,4777
ParallelQuickSort,random,1000,4,1,2,0656
ParallelQuickSort,random,1000,4,2,0,4480
ParallelQuickSort,random,1000,4,3,0,3919
ParallelQuickSort,random,1000,4,4,0,4528
ParallelQuickSort,random,1000,4,5,0,3885
ParallelMergeSort,random,1000,4,1,0,2892
ParallelMergeSort,random,1000,4,2,0,3257
ParallelMergeSort,random,1000,4,3,0,3830
ParallelMergeSort,random,1000,4,4,0,2838
ParallelMergeSort,random,1000,4,5,0,3359
ParallelSelectionSort,random,1000,4,1,9,0248
ParallelSelectionSort,random,1000,4,2,9,6141
ParallelSelectionSort,random,1000,4,3,9,2630
ParallelSelectionSort,random,1000,4,4,8,8695
ParallelSelectionSort,random,1000,4,5,8,4912
ParallelBubbleSort,random,1000,8,1,558,4819
